dataset,changepoint_prior_scale,daily_seasonality,seasonality_mode,seasonality_prior_scale,rmse,mae,r2
trace10.csv,0.5,False,additive,10.0,265.57146519345787,237.21612548828125,-1.3868544101715088
trace10.csv,0.5,False,multiplicative,0.01,265.57146519345787,237.21612548828125,-1.3868544101715088
trace10.csv,0.5,False,multiplicative,0.1,265.57146519345787,237.21612548828125,-1.3868544101715088
trace10.csv,0.5,False,multiplicative,1.0,265.57146519345787,237.21612548828125,-1.3868544101715088
trace10.csv,0.5,False,multiplicative,10.0,265.57146519345787,237.21612548828125,-1.3868544101715088
trace15.csv,0.001,True,additive,0.01,168.34006342260002,134.07200622558594,0.7211107015609741
trace15.csv,0.001,True,additive,0.1,166.83829769607757,130.63002014160156,0.7260644435882568
trace15.csv,0.001,True,additive,1.0,169.44634682732172,133.95606994628906,0.7174330949783325
trace15.csv,0.001,True,additive,10.0,165.34843654764325,128.88258361816406,0.7309350967407227
trace15.csv,0.001,True,multiplicative,0.01,310.1065089207255,263.64013671875,0.05359154939651489
trace15.csv,0.001,True,multiplicative,0.1,205.74236771992295,167.7730255126953,0.5834143757820129
trace15.csv,0.001,True,multiplicative,1.0,196.64230295768,162.99844360351562,0.6194508671760559
trace15.csv,0.001,True,multiplicative,10.0,189.0180112945589,156.1403350830078,0.6483883857727051
trace15.csv,0.001,False,additive,0.01,337.7031217467496,280.5968933105469,-0.12234663963317871
trace15.csv,0.001,False,additive,0.1,337.7031217467496,280.5968933105469,-0.12234663963317871
trace15.csv,0.001,False,additive,1.0,337.7031217467496,280.5968933105469,-0.12234663963317871
trace15.csv,0.001,False,additive,10.0,337.7031217467496,280.5968933105469,-0.12234663963317871
trace15.csv,0.001,False,multiplicative,0.01,337.7031217467496,280.5968933105469,-0.12234663963317871
trace15.csv,0.001,False,multiplicative,0.1,337.7031217467496,280.5968933105469,-0.12234663963317871
trace15.csv,0.001,False,multiplicative,1.0,337.7031217467496,280.5968933105469,-0.12234663963317871
trace15.csv,0.001,False,multiplicative,10.0,337.7031217467496,280.5968933105469,-0.12234663963317871
trace15.csv,0.01,True,additive,0.01,226.6832523037377,189.8127899169922,0.4942967891693115
trace15.csv,0.01,True,additive,0.1,215.6748402543746,180.45962524414062,0.5422210693359375
trace15.csv,0.01,True,additive,1.0,214.71259860567102,179.93783569335938,0.5462967157363892
trace15.csv,0.01,True,additive,10.0,215.9022673861949,181.0463409423828,0.5412551164627075
trace15.csv,0.01,True,multiplicative,0.01,356.59188638764624,296.45703125,-0.2514103651046753
trace15.csv,0.01,True,multiplicative,0.1,245.37020022050356,205.19961547851562,0.40748345851898193
trace15.csv,0.01,True,multiplicative,1.0,244.02660587526105,203.6008758544922,0.4139546751976013
trace15.csv,0.01,True,multiplicative,10.0,243.0101512154379,203.25079345703125,0.4188266396522522
trace15.csv,0.01,False,additive,0.01,411.1013409124324,341.5030822753906,-0.6632388830184937
trace15.csv,0.01,False,additive,0.1,411.1013409124324,341.5030822753906,-0.6632388830184937
trace15.csv,0.01,False,additive,1.0,411.1013409124324,341.5030822753906,-0.6632388830184937
trace15.csv,0.01,False,additive,10.0,411.1013409124324,341.5030822753906,-0.6632388830184937
trace15.csv,0.01,False,multiplicative,0.01,411.1013409124324,341.5030822753906,-0.6632388830184937
trace15.csv,0.01,False,multiplicative,0.1,411.1013409124324,341.5030822753906,-0.6632388830184937
trace15.csv,0.01,False,multiplicative,1.0,411.1013409124324,341.5030822753906,-0.6632388830184937
trace15.csv,0.01,False,multiplicative,10.0,411.1013409124324,341.5030822753906,-0.6632388830184937
trace15.csv,0.05,True,additive,0.01,192.10870335893165,152.30410766601562,0.6367957592010498
trace15.csv,0.05,True,additive,0.1,189.07793325438587,147.98977661132812,0.6481654047966003
trace15.csv,0.05,True,additive,1.0,188.94389875039627,147.97389221191406,0.648664116859436
